EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
252.91,252.91,2,2252,219.04697561264038,226762,0.7492680251598358,0.5822904,0.028167676,0.0,-0.007499529,44.140068
272.89,272.89,2,2254,220.84355974197388,228762,0.6714538931846619,0.5788109,0.04986593,0.0,-0.033371195,47.793823
288.66,288.66,2,2256,222.66453576087952,230762,0.5907311141490936,0.5815316,0.03640151,0.0,-0.057700977,45.35746
308.64,308.64,2,2258,224.59583401679993,232762,0.6185154318809509,0.57989675,0.07250479,0.0,-0.043849826,45.406193
328.62,328.62,2,2260,226.52380394935608,234762,0.6288736462593079,0.5779341,0.040538024,0.0,-0.038847588,44.870464
348.6,348.6,2,2262,228.3241410255432,236762,0.6650792062282562,0.57353705,0.014320871,0.0,-0.03542387,44.531097
364.67,364.67,2,2264,230.10946369171143,238762,0.6632685363292694,0.57290286,0.016420018,0.0,-0.024630994,47.251614
384.65,384.65,2,2266,231.98359394073486,240762,0.6708370447158813,0.5715122,0.021566449,0.0,-0.030071938,42.55412
404.63,404.63,2,2268,233.93078351020813,242762,0.7335922420024872,0.56994796,0.027081542,0.0,-0.034997217,42.25738
424.61,424.61,2,2270,235.92560625076294,244762,0.7270507216453552,0.5735673,0.014319095,0.0,-0.022121005,41.910107
450.58,450.58,3,2273,237.99990725517273,247762,0.4495677947998047,0.5680474,0.029690254,0.0,-0.037046615,46.630417
470.56,470.56,2,2275,239.86525583267212,249762,0.49886059761047363,0.57194114,0.022548469,0.0,-0.020839036,54.362354
490.54,490.54,2,2277,241.66864109039307,251762,0.719883382320404,0.56911916,0.040070012,0.0,-0.04135383,34.420246
510.52,510.52,2,2279,243.43416571617126,253762,0.7081289887428284,0.558609,0.029150484,0.0,-0.019032482,37.396477
510.52,510.52,2,2281,245.23183584213257,255762,0.756700187921524,0.561064,0.033429027,0.0,-0.025735551,40.031796
510.52,510.52,2,2283,246.9935643672943,257762,0.7268988192081451,0.5586817,0.011985245,0.0,-0.009817957,45.4762
510.52,510.52,2,2285,248.93335628509521,259762,0.6957689821720123,0.5592401,0.013701996,0.0,-0.02042779,44.73346
514.99,514.99,2,2287,250.74099898338318,261762,0.666698545217514,0.5591449,0.010870854,0.0,-0.032726195,39.998165
534.97,534.97,2,2289,252.5035364627838,263762,0.5305849313735962,0.5550461,0.027492294,0.0,-0.0385366,43.19649
554.95,554.95,2,2291,254.24956798553467,265762,0.43542683124542236,0.5556098,0.010714692,0.0,-0.04349048,39.979355
574.93,574.93,2,2293,255.99434971809387,267762,0.6233273446559906,0.55484366,0.028002786,0.0,-0.040117975,44.252613
584.92,584.92,2,2295,257.86465406417847,269762,0.6134506464004517,0.555296,0.006776934,0.0,-0.0040248837,51.22662
589.55,589.55,2,2297,259.7902901172638,271762,0.5922771394252777,0.55647635,0.013216535,0.0,-0.032557383,46.54134
609.53,609.53,2,2299,261.7860691547394,273762,0.66777503490448,0.55523115,0.032126475,0.0,-0.017811548,45.325333
629.51,629.51,2,2301,263.72445702552795,275762,0.6870809197425842,0.55915916,0.011268197,0.0,-0.027585313,39.92906
649.49,649.49,2,2303,265.87140417099,277762,0.5552729964256287,0.55209136,0.021683274,0.0,-0.041734464,36.206345
669.47,669.47,2,2305,267.9987587928772,279762,0.6695773005485535,0.5563813,0.01665148,0.0,-0.004763608,47.216656
679.46,679.46,2,2307,269.90585136413574,281762,0.670898050069809,0.5562356,0.020923827,0.0,-0.022081094,41.355904
684.99,684.99,2,2309,271.75427317619324,283762,0.5001938939094543,0.5560379,0.040057633,0.0,-0.027265668,49.41772
704.97,704.97,2,2311,273.6120159626007,285762,0.5676235258579254,0.5559052,0.023665398,0.0,-0.016596561,51.736298
734.94,734.94,3,2314,275.556893825531,288762,0.7296253144741058,0.5612622,0.017591937,0.0,-0.031978052,56.63138
